id,sehir,yas,tarih,korumaemri,neden1,neden2,katil1,katil2,oldurmeyolu1,oldurmeyolu2,oldurmeyolu3,katildurumu,yil
1235,,, 21/03/2015 ,   Yok ,Tartisma,,Abisi,,Atesli Silah,,,,2015
1236,,, 21/05/2015 ,   Tespit Edilemeyen ,Bosanma,,Kocasi,,Tespit Edilemeyen,,,,2015
1237,,, 21/05/2015 ,   Yok ,Namus,,Kocasi,,Kesici Alet,,,,2015
1238,,, 21/06/2015 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Iskence,,,,2015
1239,,, 21/08/2015 ,   Yok ,Kiskanclik,,Kocasi,,Atesli Silah,,,,2015
1240,,, 21/10/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2015
1241,,, 22/01/2015 ,   Yok ,Ayrilik Talebi,,Kocasi,,Kesici Alet,,,,2015
1242,,, 22/02/2015 ,   Yok ,Bosanma,,Kocasi,,Kesici Alet,,,,2015
1243,,, 22/04/2015 ,   Yok ,Tartisma,,Kocasi,,Yakilma,,,,2015
1244,,, 22/04/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Vurucu Alet,,,,2015
1245,,, 22/04/2015 ,   Yok ,Tespit Edilemeyen,,Akrabasi,,Atesli Silah,,,,2015
1246,,, 22/05/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2015
1247,,, 22/09/2015 ,   Yok ,Ayrilik Talebi,,Kocasi,,Atesli Silah,,,,2015
1248,,, 22/09/2015 ,   Yok ,Tartisma,,Eski Sevgilisi,,Atesli Silah,,,,2015
1249,,, 23/02/2015 ,   Yok ,Kadin hayatina dair bir karar vermek istedigi icin,,Kocasi,,Atesli Silah,,,,2015
1250,,, 23/02/2015 ,   Yok ,Para,,Tanidigi Birisi,,Kesici Alet,,,,2015
1251,,, 23/03/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2015
1252,,, 23/03/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Kesici Alet,,,,2015
1253,,, 23/04/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,,2015
1254,,, 23/05/2015 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Iskence,,,,2015
1255,,, 23/05/2015 ,   Var,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2015
1256,,, 23/05/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2015
1257,,, 23/09/2015 ,   Var ,Bosanma Talebi,,Kocasi,,Kesici Alet,,,,2015
1258,,, 23/11/2015 ,   Yok ,Kizini Korurken,,Damadi,,Kesici Alet,,,,2015
1259,,, 23/12/2015 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,,,2015
1260,,, 23/12/2015 ,   Yok ,Tespit Edilemeyen,,Erkek Kardesi,,Kesici Alet,,,,2015
1261,,, 24/02/2015 ,   Yok ,Kiskanclik,,Sevgilisi,,Atesli Silah,,,,2015
1262,,, 24/02/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,, Intihar ,2015
1263,,, 24/05/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,,,2015
1264,,, 24/09/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Darp,,,,2015
1265,,, 24/09/2015 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Kesici Alet,,, Araniyor ,2015
1266,,, 24/11/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2015
1267,,, 25/01/2015 ,   Yok ,Ayrilik,,Eski Kocasi,,Atesli Silah,,,,2015
1268,,, 25/01/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2015
1269,,, 25/01/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2015
1270,,, 25/02/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2015
1271,,, 25/03/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,,,2015
1272,,, 25/03/2015 ,   Yok ,Reddedilme,,Eski Sevgilisi,,Atesli Silah,,,,2015
1273,,, 25/06/2015 ,   Yok ,Reddedilme,,Tanidigi birisi,,Atesli Silah,,,,2015
1274,,, 25/08/2015 ,   Yok ,Ayrilik,,Kocasi,,Tespit Edilemeyen,,,,2015
1275,,, 25/08/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2015
1276,,, 25/12/2015 ,   Yok ,Terk Edilme,,Sevgilisi,,Atesli Silah,,,,2015
1277,,, 26/01/2015 ,   Yok ,Kriz ve Issizlik,,Arkadasi,,Iskence,,,,2015
1278,,, 26/03/2015 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,,,2015
1279,,, 26/04/2015 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,,,2015
1280,,, 26/05/2015 ,   Yok ,Bosanma,,Kocasi,,Kesici Alet,,,,2015
1281,,, 26/06/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,,2015
1282,,, 26/06/2015 ,   Yok ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Atesli Silah,,,,2015
1283,,, 26/06/2015 ,   Yok ,Aldatma,,Kocasi,,Atesli Silah,,,,2015
1284,,, 26/06/2015 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,,,2015
1285,,, 26/08/2015 ,   Yok  ,Tore,,Abisi,,Atesli Silah,,,,2015
1286,,, 26/09/2015 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Iskence,,,,2015
1287,,, 26/10/2015 ,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,,,2015
1288,,, 26/12/2015 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Atesli Silah,,,,2015
1289,,, 26/12/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2015
1290,,, 27/05/2015 ,   Yok ,Ayrilik,Tartisma,Kocasi,,Atesli Silah,,,,2015
1291,,, 27/05/2015 ,   Yok ,Tartisma,,Eski Sevgilisi,,Atesli Silah,,,,2015
1292,,, 27/05/2015 ,   Yok ,Kiskanclik,,Eski Kocasi,,Bogulma,,,,2015
1293,,, 27/05/2015 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,,,2015
1294,,, 27/06/2015 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,,,2015
1295,,, 27/07/2015 ,   Yok ,Kiskanclik,,Tanidigi Birisi,,Kesici Alet,,,,2015
1296,,, 27/07/2015 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Darp,,,,2015
1297,,, 27/08/2015 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Darp,,,,2015
1298,,, 27/08/2015 ,   Yok ,Aldatilma Suphesi,,Oglu,,Bogulma,,,,2015
1299,,, 28/03/2015 ,   Yok ,Tecavuz,,Tanidigi Birisi,,Bogulma,,,,2015
1300,,, 28/04/2015 ,   Var,Bosanma Talebi,,Kocasi,,Atesli Silah,,,,2015
1301,,, 28/06/2015 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,,,2015
1302,,, 28/08/2015 ,   Yok ,Nefret,,Tespit Edilemeyen,,Kesici Alet,,,,2015
1303,,, 28/09/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2015
1304,,, 28/12/2015 ,   Yok,Reddedilme,,Tanimadigi Birisi,,Iskence,,,,2015
1305,,, 29/01/2015 ,   Yok ,Aldatilma Suphesi,,Sevgilisi,,Atesli Silah,,,,2015
1306,,, 29/01/2015 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,,2015
1307,,, 29/01/2015 ,   Yok ,Tespit Edilemeyen,,Oglu,,Atesli Silah,,,,2015
1308,,, 29/06/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,,,2015
1309,,, 29/08/2015 ,   Yok ,Tartisma,,Eski Kocasi,,Kesici Alet,,,,2015
1310,,, 29/09/2015 ,   Yok ,Nefret,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu,2015
1311,,, 29/10/2015 ,   Tespit Edilemeyen ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Oglu,,Iskence,,,,2015
1312,,, 29/10/2015 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Atesli Silah,,,,2015
1313,,, 30/03/2015 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,,,2015
1314,,, 30/03/2015 ,   Yok ,Kardesini Korurken,,Enistesi,,Atesli Silah,,,,2015
1315,,, 30/10/2015 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,,,2015
1316,,, 30/10/2015 ,   Yok ,Bosanma,,Eski Kocasi,,Atesli Silah,,,,2015
1317,,, 30/11/2015 ,   Yok ,Ayrilik,,Eski Sevgilisi,,Kesici Alet,,,,2015
1318,,, 30/11/2015 ,   Yok ,Nefret,,Tanidigi Birisi,,Atesli Silah,,,,2015
1319,,, 31/07/2015 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,,,2015
1320,,, 31/07/2015 ,   Tespit Edilemeyen ,Bosanma,,Kocasi,,Atesli Silah,,,,2015
1321,,, 31/10/2015 ,   Tespit Edilemeyen ,Para,,Tespit Edilemeyen,,Kesici Alet,,,,2015
1322,,, 31/12/2015 ,   Yok ,Tespit Edilemeyen,,Uvey Oglu,,Bogulma,,,,2015
1323,,,20/05/2015,   Yok ,Ayrilik Talebi,,Nisanlisi,,Atesli Silah,,,,2015
1324, Adana , Resit ,01/01/2016,   Yok ,Reddedilme,,Eski Kocasi,,Atesli Silah,,, Intihar ,2016
1325, Adana , Resit , 01/01/2016 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2016
1326, Adana , Resit , 01/03/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Darp,Yuksekten Dusme,, Tutuklu ,2016
1327, Adana ,, 01/03/2016 ,   Yok ,Arkadasini Korurken,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1328, Adiyaman , Resit , 01/05/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2016
1329, Agri , Resit , 01/08/2016 ,   Yok ,Reddedilme,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1330, Agri ,, 01/08/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1331, Amasya ,, 01/10/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Araniyor ,2016
1332, Ankara ,, 01/11/2016 ,   Yok ,Reddedilme,,Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2016
1333, Ankara ,, 02/03/2016 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,, Tutuklu ,2016
1334, Ankara , Resit , 02/07/2016 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,Kesici Alet,, Tutuklu ,2016
1335, Antalya ,, 02/08/2016 ,   Yok ,Ayrilik Talebi,Kiskanclik,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1336, Antalya ,, 02/09/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1337, Antalya ,, 02/10/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1338, Antalya ,, 02/11/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1339, Antalya , Resit , 02/11/2016 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2016
1340, Antalya ,, 02/11/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1341, Antalya ,, 02/12/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2016
1342, Antalya , Resit , 03/01/2016 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Bogulma,,, Tutuklu ,2016
1343, Antalya , Resit , 03/02/2016 ,   Yok ,Gecimsizlik,,Babasi,,Atesli Silah,,, Tutuklu ,2016
1344, Antalya , Resit , 03/02/2016 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Tespit Edilemeyen,,, Tutuklu ,2016
1345, Antalya , Resit , 03/04/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Intihar ,2016
1346, Aydin , Resit , 03/08/2016 ,   Yok ,Baska Bir Kadini Korurken,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1347, Aydin , Resit , 03/08/2016 ,   Yok ,Barisma Talebi,,Sevgilisi,,Atesli Silah,,, Intihar ,2016
1348, Balikesir , Resit , 03/11/2016 ,   Yok ,Annesini Korurken,,Babasi,,Atesli Silah,,, Tutuklu ,2016
1349, Balikesir , Resit , 03/12/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1350, Bartin , Resit , 04/01/2016 ,   Yok ,Tespit Edilemeyen,,Oglu,,Kesici Alet,,, Tutuklu ,2016
1351, Mugla ,, 04/03/2016 ,   Yok ,Reddedilme,Namus,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2016
1352, Mugla ,, 04/03/2016 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Kesici Alet,,, Tutuklu ,2016
1353, Bolu ,Resit, 04/04/2016 ,   Yok ,Kriz ve Issizlik,,Kocasi,,Kesici Alet,,,,2016
1354, Bolu , Resit , 04/05/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1355, Bursa ,, 04/08/2016 ,   Yok ,Ayrilik Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1356, Bursa , Resit , 04/09/2016 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Tutuklu ,2016
1357, Bursa ,, 04/10/2016 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Araniyor ,2016
1358, Bursa , Resit , 04/12/2016  ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1359, Canakkale , Resit , 05/02/2016 ,   Var ,Bosanma Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2016
1360, Canakkale , Resit , 05/02/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1361, Canakkale , Resit , 05/02/2016 ,   Yok ,Tartisma,Kaza,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1362, Canakkale ,, 05/02/2016 ,Yok,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1363, Izmir , Resit , 05/02/2016 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2016
1364, Aydin , Resit , 05/02/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1365, Corlu , Tespit Edilemeyen, 05/02/2016 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor,2016
1366, Denizli , Resit , 05/08/2016 ,   Var ,Tartisma,,Kocasi,,Bogulma,,, Tutuklu ,2016
1367, Denizli , Resit , 05/08/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Sorusturma Suruyor ,2016
1368, Denizli ,, 05/08/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1369, Diyarbakir , Resit , 05/10/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2016
1370, Diyarbakir , Resit , 05/11/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2016
1371, Diyarbakir ,, 05/11/2016 ,   Yok ,Tartisma,,Akrabasi,,Yuksekten Dusme,,, Tutuklu ,2016
1372, Diyarbakir , Resit , 06/03/2016 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Araniyor ,2016
1373, Diyarbakir ,, 06/03/2016 ,   Yok ,Aldatilma Suphesi,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1374,Agri ,, 06/03/2016 ,   Tespit Edilemeyen,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1375, Duzce , Resit , 06/04/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1376, Edirne , Resit , 06/05/2016 ,   Yok ,Ayrilik Talebi,,Sevgilisi,,Tespit Edilemeyen,,, Intihar ,2016
1377, Konya ,, 06/09/2016 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1378, Konya ,, 06/09/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1379, Diyarbakir , Resit , 06/09/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Ilac,,, Tespit Edilemeyen,2016
1380, Erzurum , Resit , 06/10/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2016
1381, Eskisehir ,, 06/11/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1382, Gaziantep ,Resit, 07/02/2016 ,   Yok ,Kadin hayatina dair bir karar vermek istedigi icin,,Babasi,,Iskence,,,,2016
1383, Gaziantep , Resit Degil , 07/03/2016 ,   Yok ,Tespit Edilemeyen,,Babasi,,Darp,,, Tutuklu ,2016
1384, Gaziantep ,, 07/07/2016 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Kacak ,2016
1385, Gaziantep ,Resit Degil, 07/07/2016 ,   Yok ,Tespit Edilemeyen,,Babasi,,Atesli Silah,,,,2016
1386, Gaziantep ,Resit, 07/07/2016 ,   Yok ,Kriz ve Issizlik,,Kocasi,,Kesici Alet,,,,2016
1387, Gaziantep  , Resit , 07/09/2016 ,   Yok ,Kizini Korurken,,Damadi,,Atesli Silah,,, Tutuklu ,2016
1388, Kocaeli , Resit , 07/09/2016 ,   Yok ,Tartisma,,Babasi,,Atesli Silah,,, Tutuklu ,2016
1389, Giresun ,, 07/10/2016 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,,,2016
1390, Kibris , Resit , 07/10/2016 ,   Yok ,Kiskanclik,,Kocasi,,Yuksekten Dusme,,, Tutuklu ,2016
1391, Gurcistan ,, 07/10/2016 ,   Yok ,Tartisma,,Kocasi,,Bogulma,,, Tutuklu ,2016
1392, Hatay , Resit , 07/11/2016 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2016
1393, Hatay , Resit , 07/11/2016 ,   Yok ,Namus,,Amcasi,,Atesli Silah,,, Tutuklu ,2016
1394, Hatay , Resit , 07/12/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1395, Hatay , Resit , 08/01/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edlemeyen,,Tespit Edilemeyen,,, Tutuklu ,2016
1396, Hatay , Resit , 08/01/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2016
1397, Igdir , Resit , 08/02/2016 ,   Yok ,Bosanma Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1398, Igdir , Resit , 08/02/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Araniyor ,2016
1399, Igdir ,, 08/03/2016 ,   Yok ,Intikam,,Akrabasi,,Atesli Silah,,,,2016
1400, Isparta , Resit , 08/03/2016 ,   Yok ,Tartisma,,Kardesi,,Atesli Silah,,, Tutuklu ,2016
1401, Isparta , Resit , 08/03/2016 ,   Yok ,Tartisma,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2016
1402, Istanbul , Resit , 08/05/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2016
1403, Istanbul ,, 08/07/2016 ,   Yok ,Namus,,Abisi,,Atesli Silah,,, Araniyor ,2016
1404, Istanbul , Resit , 08/08/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1405, Istanbul , Resit , 08/09/2016 ,   Yok ,Namus,,Kocasi,,Kesici Alet,,, Araniyor ,2016
1406, Istanbul , Resit , 08/10/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Yuksekten Dusme,,, Tespit Edilemeyen,2016
1407, Istanbul ,, 08/11/2016 ,   Tespit Edilemeyen ,Bosanma,,Kocasi,,Kesici Alet,,,Tespit Edilemeyen,2016
1408, Istanbul , Resit , 09/01/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Intihar ,2016
1409, Istanbul ,, 09/03/2016 ,   Yok ,Tartisma,,Tanimadigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1410, Istanbul , Resit , 09/03/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Sorusturma Suruyor ,2016
1411, Istanbul ,, 09/03/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2016
1412, Istanbul ,, 09/04/2016 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1413, Istanbul ,, 09/04/2016 ,   Yok ,Ayrilik Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1414, Istanbul ,, 09/04/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,, Tespit Edilemeyen,2016
1415, Istanbul ,, 09/04/2016 ,   Yok ,Kiskanclik,,Eski Kocasi,,Atesli Silah,,, Kacak ,2016
1416, Istanbul , Resit , 09/07/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1417, Istanbul ,Resit Degil, 09/08/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,,2016
1418, Istanbul ,, 09/09/2016 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Kacak ,2016
1419, Istanbul ,, 09/10/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Tespit Edilemeyen,2016
1420, Istanbul ,, 09/10/2016 ,   Var ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2016
1421, Istanbul , Resit , 09/10/2016 ,   Yok ,Tartisma,,Kocasi,,Darp,,, Tutuklu ,2016
1422, Istanbul , Resit , 09/12/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1423, Istanbul ,, 09/12/2016 ,   Yok ,Tartisma,,Oglu,,Darp,,, Tutuklu ,2016
1424, Istanbul , Resit , 10/03/2016 ,   Yok ,Kiskanclik,,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1425, Istanbul , Resit Degil , 10/05/2016 ,   Yok ,Bosanma Talebi,,Babasi,,Atesli Silah,,, Intihar ,2016
1426, Istanbul ,, 10/08/2016 ,   Yok ,Ayrilik Talebi,,Kocasi,,Atesli Silah,,, Intihar ,2016
1427, Istanbul ,, 10/11/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2016
1428, Istanbul ,, 10/12/2016 ,   Yok ,Intikam,,Eski Kocasi,,Kesici Alet,,, Araniyor ,2016
1429, Istanbul ,, 10/12/2016 ,   Yok ,Namus,,Abisi,,Tespit Edilemeyen,,, Tespit Edilemeyen,2016
1430, Izmir ,, 11/02/2016 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2016
1431, Izmir , Resit , 11/02/2016 ,   Yok ,Reddedilme,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2016
1432, Izmir , Resit , 11/04/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Intihar ,2016
1433, Izmir , Resit , 11/05/2016 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Bogulma,,, Tutuklu ,2016
1434, Izmir ,, 11/07/2016 ,   Yok ,Tartisma,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2016
1435, Izmir ,, 11/08/2016 ,   Yok ,Tespit Edilemeyen,,Nisanlisi,,Kesici Alet,,, Kacak ,2016
1436, Izmir , Resit , 11/08/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2016
1437, Izmir ,, 11/10/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Darp,,, Tespit Edilemeyen,2016
1438, Izmir ,, 11/11/2016 ,   Yok ,Kiskanclik,,Sevgilisi,,Kesici Alet,,, Tutuklu ,2016
1439, Izmir , Resit , 11/11/2016 ,   Yok ,Tespit Edilemeyen,,Eski Kocasi,,Atesli Silah,Darp,, Tutuklu ,2016
1440, Izmir , Resit , 11/12/2016 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Kesici Alet,,,Tespit Edilemeyen,2016
1441, Kocaeli , Resit , 12/02/2016 ,   Yok ,Tartisma,,Sevgilisi,,Atesli Silah,,, Tutuklu ,2016
1442, Kocaeli , Resit , 12/02/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Bogulma,,, Tespit Edilemeyen,2016
1443, Kocaeli , Resit , 12/02/2016 ,   Yok ,Bosanma,,Eski Kocasi,,Atesli Silah,,, Tutuklu ,2016
1444, Karaman , Resit , 12/07/2016 ,   Yok ,Bosanma Talebi ,Tartisma,Kocasi,,Kesici Alet,,, Tutuklu ,2016
1445, Karaman , Resit , 12/07/2016 ,   Yok ,Tespit Edilemeyen,,Tanimadigi Birisi,,Tespit Edilemeyen,,, Tutuklu ,2016
1446, Kocaeli ,, 12/07/2016 ,   Yok ,Tartisma,,Oglu,,Kesici Alet,,, Tutuklu ,2016
1447, Kars , Resit , 12/08/2016 ,   Yok ,Tartisma,Bosanma Talebi,Kocasi,,Atesli Silah,,, Tutuklu ,2016
1448, Kars , Resit Degil , 12/08/2016 ,   Yok ,Tespit Edilemeyen,,Tanidigi Birisi,,Tespit Edilemeyen,,,Sorusturma Suruyor,2016
1449, Kastomonu ,, 12/10/2016 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Asma,,, Tespit Edilemeyen,2016
